DESIGN S116
35 21 10 7 5
1 8 15 22 29 2 9 16 23 30
2 9 16 23 30 3 10 17 24 31
3 10 17 24 31 4 11 18 25 32
4 11 18 25 32 5 12 19 26 33
5 12 19 26 33 6 13 20 27 34
6 13 20 27 34 7 14 21 28 35
7 14 21 28 35 1 8  15 22 29
1 8 15 22 29 3 10 17 24 31
2 9 16 23 30 4 11 18 25 32
3 10 17 24 31 5 12 19 26 33
4 11 18 25 32 6 13 20 27 34
5 12 19 26 33 7 14 21 28 35
6 13 20 27 34 1 8 15 22 29
7 14 21 28 35 2 9 16 23 30
1 8 15 22 29 4 11 18 25 32
2 9 16 23 30 5 12 19 26 33
3 10 17 24 31 6 13 20 27 34
4 11 18 25 32 7 14 21 28 35
5 12 19 26 33 8 8  15 22 29
6 13 20 27 34 2 9  16 23 30
7 14 21 28 35 3 10 17 24 31
