DESIGN SR109
30 27 10 10 3
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 10
21 22 23 24 25 26 27 28 29 10
1 2 3 14 15 16 27 28 29 20
11 12 13 24 25 26 7 8 9 20
21 22 23 4 5 6 17 18 19 20
1 2 3 24 25 26 17 18 19 30
11 12 13 4 5 6 27 28 29 30
21 22 23 14 15 16 7 8 9 30
1 12 23 4 15 26 7 18 29 10
11 22 3 14 25 6 17 28 9 10
21 2 13 24 5 16 27 8 19 10
1 12 23 14 25 6 27 8 19 20
11 22 3 24 5 16 7 18 29 20
21 2 13 4 15 26 17 28 9 20
1 12 23 24 5 16 17 28 9 30
11 22 3 4 15 26 27 8 19 30
21 2 13 14 25 6 7 18 29 30
1 22 13 4 25 16 7 28 19 10
11 2 23 14 5 26 17 8 29 10
21 12 3 24 15 6 27 18 9 10
1 22 13 14 5 26 27 18 9 20
11 2 23 24 15 6 7 28 19 20
21 12 3 4 25 16 17 8 29 20
1 22 13 24 15 6 17 8 29 30
11 2 23 4 25 16 27 18 9 30
21 12 3 14 5 26 7 28 19 30
