DESIGN SR94
24 27 8 8 3
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
1 2 3 12 13 14 23 24
9 10 11 20 21 22 7 8
17 18 19 4 5 6 15 16
1 2 3 20 21 22 15 16
9 10 11 4 5 6 23 24
17 18 19 12 13 14 7 8
1 10 19 4 13 22 7 16
9 18 3 12 21 6 15 24
17 2 11 20 5 14 23 8
1 10 19 12 21 6 23 8
9 18 3 20 5 14 7 16
17 2 11 4 13 22 15 24
1 10 19 20 5 14 15 24
9 18 3 4 13 22 23 8
17 2 11 12 21 6 7 16
1 18 11 4 21 14 7 24
9 2 19 12 5 22 15 8
17 10 3 20 13 6 23 16
1 18 11 12 5 22 23 16
9 2 19 20 13 6 7 24
17 10 3 4 21 14 15 8
1 18 11 20 13 6 15 8
9 2 19 4 21 14 23 16
17 10 3 12 5 22 7 24
