1 7 13
2 7 14
3 7 15
1 8 14
2 8 15
3 8 16
1 9 15
2 9 16
3 9 17
1 10 16
2 10 17
3 10 18
1 11 17
2 11 18
3 11 13
1 12 18
2 12 13
3 12 14
4 7 16
5 7 17
6 7 18
4 8 17
5 8 18
6 8 13
4 9 18
5 9 13
6 9 14
4 10 13
5 10 14
6 10 15
4 11 14
5 11 15
6 11 16
4 12 15
5 12 16
6 12 17
1 7 13
2 7 14
3 7 15
1 8 14
2 8 15
3 8 16
1 9 15
2 9 16
3 9 17
1 10 16
2 10 17
3 10 18
1 11 17
2 11 18
3 11 13
1 12 18
2 12 13
3 12 14
4 7 16
5 7 17
6 7 18
4 8 17
5 8 18
6 8 13
4 9 18
5 9 13
6 9 14
4 10 13
5 10 14
6 10 15
4 11 14
5 11 15
6 11 16
4 12 15
5 12 16
6 12 17
1 2 5
1 2 6
1 3 4
1 3 6
1 4 5
2 3 4
2 3 5
2 4 6
3 5 6
4 5 6
7 8 11
7 8 12
7 9 10
7 9 12
7 10 11
8 9 10
8 9 11
8 10 12
9 11 12
10 11 12
13 14 17
13 14 18
13 15 16
13 15 18
13 16 17
14 15 16
14 15 17
14 16 18
15 17 18
16 17 18
