DESIGN R171
28 28 6 7 4
2 9 3 5 17 26
17 16 23 3 19 12
9 2 19 10 12 24
16 23 10 24 26 5
1 15 7 14 24 3
10 17 1 15 21 28
22 8 24 28 3 21
8 22 14 7 10 17
4 1 25 2 8 16
23 25 15 9 22 4
18 11 9 23 1 8
11 18 2 22 16 15
3 10 6 18 4 27
27 24 17 11 6 25
24 4 18 17 13 20
25 3 13 20 11 10
6 5 12 1 20 22
15 27 8 12 5 13
20 19 26 8 15 6
26 13 22 19 27 1
5 28 11 4 7 19
7 12 28 26 25 18
19 21 5 25 18 14
12 26 4 21 14 11
13 7 21 6 23 2
28 14 20 27 2 23
21 20 27 16 9 7
14 6 16 13 28 9
